,state,stateabb,year,binge_all,binge_male,binge_female,poverty
4831,Delaware,DE,2011,False,False,False,True
4846,Washington,WA,2015,False,False,False,True
4853,District of Columbia,DC,2011,False,False,False,True
4908,California,CA,2014,False,False,False,True
4919,Indiana,IN,2010,False,False,False,True
4922,United States,US,2015,False,False,False,True
4927,Texas,TX,2015,False,False,False,True
4936,Massachusetts,MA,2014,False,False,False,True
4954,Minnesota,MN,2014,False,False,False,True
4983,Arkansas,AR,2017,False,False,False,True
5000,Kentucky,KY,2018,False,False,False,True
5006,Virginia,VA,2015,False,False,False,True
5008,Washington,WA,2018,False,False,False,True
5020,Tennessee,TN,2013,False,False,False,True
5033,New York,NY,2012,False,False,False,True
5047,Utah,UT,2016,False,False,False,True
5052,Pennsylvania,PA,2014,False,False,False,True
5058,Wisconsin,WI,2018,False,False,False,True
5075,South Dakota,SD,2017,False,False,False,True
5078,South Carolina,SC,2011,False,False,False,True
5102,Mississippi,MS,2015,False,False,False,True
5144,Nebraska,NE,2013,False,False,False,True
5171,New Hampshire,NH,2011,False,False,False,True
5272,District of Columbia,DC,2010,False,False,False,True
5277,Alabama,AL,2015,False,False,False,True
5319,Ohio,OH,2010,False,False,False,True
5353,Colorado,CO,2014,False,False,False,True
5359,Tennessee,TN,2018,False,False,False,True
5386,New Jersey,NJ,2010,False,False,False,True
5397,Ohio,OH,2015,False,False,False,True
