,state,stateabb,year,binge_all,binge_male,binge_female,poverty
430654,New Hampshire,NH,2017,True,True,False,False
430664,North Dakota,ND,2013,True,True,False,False
430684,North Carolina,NC,2011,True,False,True,False
430691,New Hampshire,NH,2011,True,False,True,False
430692,Minnesota,MN,2012,True,True,False,False
430707,Puerto Rico,PR,2017,True,True,False,False
430708,South Dakota,SD,2012,True,False,True,False
430730,Pennsylvania,PA,2011,True,False,True,False
430739,Virginia,VA,2012,True,True,False,False
430757,North Carolina,NC,2014,True,False,True,False
430758,Maryland,MD,2013,True,True,False,False
430760,North Carolina,NC,2018,True,False,True,False
430779,North Carolina,NC,2019,True,True,False,False
430789,Wisconsin,WI,2016,True,True,False,False
430793,Virgin Islands,VI,2016,True,False,True,False
430812,New Mexico,NM,2017,True,True,False,False
430831,Oregon,OR,2012,True,True,False,False
430835,Wisconsin,WI,2019,True,True,False,False
430855,Maine,ME,2014,True,False,True,False
430876,Texas,TX,2013,True,True,False,False
430880,New York,NY,2016,True,True,False,False
430882,North Carolina,NC,2013,True,True,False,False
430887,Louisiana,LA,2019,True,False,True,False
430890,North Dakota,ND,2014,True,False,True,False
430892,Guam,GU,2014,True,True,False,False
430900,Vermont,VT,2019,True,False,True,False
430903,Mississippi,MS,2018,True,False,True,False
430913,New Hampshire,NH,2013,True,True,False,False
430916,New York,NY,2015,True,False,True,False
430917,United States,US,2018,True,True,False,False
430936,Puerto Rico,PR,2013,True,True,False,False
430940,Oklahoma,OK,2015,True,True,False,False
430949,Maryland,MD,2011,True,True,False,False
430960,Nevada,NV,2018,True,True,False,False
430984,Tennessee,TN,2013,True,False,True,False
430988,New York,NY,2018,True,True,False,False
430992,West Virginia,WV,2013,True,True,False,False
430995,Ohio,OH,2015,True,False,True,False
431007,South Carolina,SC,2017,True,True,False,False
431024,Maryland,MD,2017,True,True,False,False
431025,United States,US,2017,True,False,True,False
431027,Mississippi,MS,2016,True,False,True,False
431028,Pennsylvania,PA,2016,True,False,True,False
431038,Mississippi,MS,2015,True,False,True,False
431041,Puerto Rico,PR,2013,True,False,True,False
431048,Maine,ME,2017,True,False,True,False
431050,United States,US,2017,True,True,False,False
431053,Ohio,OH,2018,True,True,False,False
431090,Nevada,NV,2016,True,True,False,False
431094,Utah,UT,2018,True,True,False,False
431102,Virgin Islands,VI,2018,True,True,False,False
431126,Ohio,OH,2014,True,True,False,False
431139,Pennsylvania,PA,2014,True,False,True,False
431147,Wisconsin,WI,2013,True,True,False,False
431165,Minnesota,MN,2018,True,False,True,False
431169,Montana,MT,2019,True,False,True,False
431178,Nevada,NV,2015,True,False,True,False
431179,Maine,ME,2012,True,False,True,False
431187,Maryland,MD,2018,True,False,True,False
431196,Minnesota,MN,2014,True,False,True,False
431207,Wisconsin,WI,2011,True,True,False,False
431211,Wyoming,WY,2013,True,False,True,False
431235,Texas,TX,2015,True,True,False,False
431266,West Virginia,WV,2018,True,False,True,False
431267,Michigan,MI,2011,True,True,False,False
431272,Rhode Island,RI,2012,True,False,True,False
431287,Puerto Rico,PR,2015,True,True,False,False
431299,Pennsylvania,PA,2018,True,False,True,False
431324,Maryland,MD,2012,True,False,True,False
431325,Louisiana,LA,2016,True,True,False,False
431342,Maine,ME,2019,True,False,True,False
431348,Mississippi,MS,2013,True,False,True,False
431378,Nevada,NV,2013,True,False,True,False
431396,North Carolina,NC,2011,True,True,False,False
431397,Nebraska,NE,2016,True,False,True,False
431414,Tennessee,TN,2016,True,False,True,False
431420,Massachusetts,MA,2014,True,True,False,False
431422,West Virginia,WV,2019,True,True,False,False
431425,Wyoming,WY,2011,True,False,True,False
431426,Maryland,MD,2014,True,False,True,False
431428,Minnesota,MN,2015,True,False,True,False
431445,West Virginia,WV,2016,True,True,False,False
431452,Vermont,VT,2017,True,False,True,False
431457,Puerto Rico,PR,2019,True,True,False,False
431458,Oklahoma,OK,2019,True,True,False,False
431466,Nebraska,NE,2012,True,False,True,False
431481,New York,NY,2013,True,False,True,False
431491,Utah,UT,2016,True,True,False,False
431501,Massachusetts,MA,2012,True,True,False,False
431502,Tennessee,TN,2011,True,False,True,False
431554,New York,NY,2014,True,True,False,False
431563,South Carolina,SC,2019,True,True,False,False
431568,Oklahoma,OK,2017,True,True,False,False
431577,Puerto Rico,PR,2015,True,False,True,False
431578,Guam,GU,2013,True,True,False,False
431579,Pennsylvania,PA,2019,True,False,True,False
431585,West Virginia,WV,2017,True,True,False,False
431598,Michigan,MI,2013,True,True,False,False
431600,Oregon,OR,2013,True,True,False,False
431619,Oklahoma,OK,2011,True,True,False,False
431624,Guam,GU,2016,True,True,False,False
431665,Virgin Islands,VI,2016,True,True,False,False
431666,Mississippi,MS,2015,True,True,False,False
431677,New Hampshire,NH,2011,True,True,False,False
431690,Oklahoma,OK,2013,True,True,False,False
431702,Maine,ME,2018,True,True,False,False
431708,Mississippi,MS,2011,True,False,True,False
431724,New Mexico,NM,2013,True,True,False,False
431726,Maryland,MD,2016,True,True,False,False
431732,Minnesota,MN,2017,True,False,True,False
431751,Ohio,OH,2013,True,False,True,False
431758,Mississippi,MS,2017,True,True,False,False
431763,Guam,GU,2012,True,True,False,False
431774,Oregon,OR,2014,True,True,False,False
431776,Oklahoma,OK,2018,True,True,False,False
431796,Vermont,VT,2015,True,False,True,False
431805,Pennsylvania,PA,2015,True,False,True,False
431814,Tennessee,TN,2015,True,False,True,False
431833,Maryland,MD,2018,True,True,False,False
431839,Ohio,OH,2013,True,True,False,False
431852,United States,US,2015,True,True,False,False
431871,Puerto Rico,PR,2011,True,False,True,False
